Week,# HHs,inc tryers,Coupon,AnyP
1,8,8,0.0,55.61
2,14,6,0.0,55.82
3,16,2,0.018037041,55.65
4,32,16,0.126259288,81.17
5,40,8,0.078697419,74.45
6,47,7,0.044160582000000004,73.82
7,50,3,0.021447549,46.83
8,52,2,0.008474307,0.0
9,57,5,0.002457006,72.41
10,60,3,0.015465007,71.52
11,65,5,0.10524831800000001,89.32
12,67,2,0.065581606,56.05
13,68,1,0.036800485,12.58
14,72,4,0.017872957,13.33
15,75,3,0.007061923,43.31
16,81,6,0.002047505,41.46
17,90,9,0.000361783,41.95
18,94,4,2.68709e-05,44.47
19,96,2,3.53e-07,22.9
20,96,0,6.07e-11,8.82
21,96,0,3.1e-22,0.0
22,97,1,0.0,0.0
23,97,0,0.0,32.2
24,101,4,0.0,33.4
25,101,0,0.0,13.05
26,101,0,0.0,0.0
27,105,4,0.0,32.11
28,106,1,0.0,31.26
29,106,0,0.0,9.05
30,118,12,0.0,0.0
31,119,1,0.0,0.0
32,119,0,0.0,0.0
33,120,1,0.0,30.96
34,123,3,0.0,31.0
35,125,2,0.0,14.68
36,125,0,0.0,0.0
37,126,1,0.0,0.0
38,127,1,0.0,0.0
39,127,0,0.0,0.0
40,127,0,0.0,0.0
41,127,0,0.0,0.0
42,128,1,0.0,68.12
43,129,1,0.0,29.16
44,129,0,0.0,28.13
45,129,0,0.0,8.72
46,130,1,0.018065151,37.48
47,132,2,0.12645605699999998,67.37
48,133,1,0.078820065,21.53
49,137,4,0.04422940400000001,61.61
50,137,0,0.021480974,24.84
51,137,0,0.008487514,20.95
52,139,2,0.002460836,21.62
